bits,i,size,S,X,Stime,Xtime
1,98,10000000,18446744071579648372,35160804,1467.2564,1445.632
1,99,10000000,18446744071579648372,18446744071579648372,1462.7368,1452.6765
2,0,10000000,18446744068349632700,18446744071027925492,1485.9984,1451.6292
2,1,10000000,18446744068349632700,4,1467.182,1451.8129
2,2,10000000,18446744068349632700,18446744068349632700,1465.4203,1454.8274
2,3,10000000,18446744068349632700,18446744071027925492,1468.6242,1450.9814
2,4,10000000,18446744068349632700,18446744071579648372,1466.1968,1452.7397
2,5,10000000,18446744068349632700,18446744069962973868,1494.6661,1461.2959
2,6,10000000,18446744068349632700,18446744071031258828,1488.8169,1455.13
2,7,10000000,18446744068349632700,18446744071031258828,1507.2442,1451.69
2,8,10000000,18446744068349632700,18446744071027925492,1489.1375,1453.0732
2,9,10000000,18446744068349632700,18446744069962973868,1485.6009,1444.413
2,10,10000000,18446744068349632700,18446744071027925492,1491.2245,1464.9708
2,11,10000000,18446744068349632700,18446744071031258828,1489.1115,1451.0007
2,12,10000000,18446744068349632700,18446744068349632700,1457.8001,1451.1844
2,13,10000000,18446744068349632700,18446744068349632700,1454.968,1446.7526
2,14,10000000,18446744068349632700,18446744069966307204,1485.4891,1450.1303
2,15,10000000,18446744068349632700,18446744071027925492,1487.7027,1444.5632
2,16,10000000,18446744068349632700,18446744071031258828,1480.5121,1462.4724
2,17,10000000,18446744068349632700,18446744069966307204,1489.8888,1448.0261
2,18,10000000,18446744068349632700,18446744071027925492,1489.3617,1452.883
2,19,10000000,18446744068349632700,18446744071031258828,1498.3026,1454.966
2,20,10000000,18446744068349632700,18446744069962973868,1478.9711,1447.3161
2,21,10000000,18446744068349632700,18446744069966307204,1495.3583,1444.2328
2,22,10000000,18446744068349632700,18446744071034592164,1474.6053,1470.6756
2,23,10000000,18446744068349632700,18446744068349632700,1476.5436,1478.2426
2,24,10000000,18446744068349632700,18446744071027925492,1474.015,1468.4937
2,25,10000000,18446744068349632700,18446744069966307204,1486.536,1448.1596
2,26,10000000,18446744068349632700,4,1479.6119,1447.6558
2,27,10000000,18446744068349632700,18446744071027925492,1491.8492,1451.77
2,28,10000000,18446744068349632700,18446744071027925492,1481.69,1459.4961
2,29,10000000,18446744068349632700,18446744071031258828,1479.5742,1452.9198
2,30,10000000,18446744068349632700,18446744071027925492,1493.4524,1454.1986
2,31,10000000,18446744068349632700,18446744069962973868,1502.1935,1453.4345
2,32,10000000,18446744068349632700,18446744069962973868,1485.9864,1465.6067
2,33,10000000,18446744068349632700,18446744068349632700,1453.8494,1457.028
2,34,10000000,18446744068349632700,18446744071027925492,1488.5196,1451.4645
2,35,10000000,18446744068349632700,18446744069966307204,1486.8704,1447.6132
2,36,10000000,18446744068349632700,18446744071031258828,1485.5316,1453.8619
2,37,10000000,18446744068349632700,18446744071027925492,1502.3444,1447.097
2,38,10000000,18446744068349632700,18446744071579648372,1462.0052,1462.2771
2,39,10000000,18446744068349632700,18446744069962973868,1488.184,1449.4316
2,40,10000000,18446744068349632700,18446744068349632700,1451.3322,1449.8934
2,41,10000000,18446744068349632700,4,1453.585,1456.1878
2,42,10000000,18446744068349632700,18446744072641266660,1475.3883,1454.162
2,43,10000000,18446744068349632700,18446744069966307204,1483.0579,1446.0297
2,44,10000000,18446744068349632700,18446744073192989540,1493.9531,1441.5609
2,45,10000000,18446744068349632700,18446744071027925492,1476.8378,1451.8822
2,46,10000000,18446744068349632700,4,1457.2326,1445.341
2,47,10000000,18446744068349632700,18446744071031258828,1492.9798,1447.2638
2,48,10000000,18446744068349632700,18446744068349632700,1470.1639,1449.5218
2,49,10000000,18446744068349632700,18446744069962973868,1489.3466,1460.7455
2,50,10000000,18446744068349632700,18446744069962973868,1476.2372,1455.2494
2,51,10000000,18446744068349632700,18446744071027925492,1494.2138,1446.3254
2,52,10000000,18446744068349632700,18446744071027925492,1480.5654,1454.9392
2,53,10000000,18446744068349632700,18446744069966307204,1474.2254,1465.5062
2,54,10000000,18446744068349632700,18446744069966307204,1481.1878,1446.7006
2,55,10000000,18446744068349632700,4,1484.5826,1448.0603
2,56,10000000,18446744068349632700,18446744071027925492,1470.449,1457.8481
2,57,10000000,18446744068349632700,18446744068349632700,1473.5842,1480.1485
2,58,10000000,18446744068349632700,18446744069966307204,1505.7154,1450.4085
2,59,10000000,18446744068349632700,18446744072647933332,1462.113,1469.3655
2,60,10000000,18446744068349632700,18446744071579648372,1488.3653,1468.2947
2,61,10000000,18446744068349632700,18446744071027925492,1473.266,1448.4576
