bits,i,size,MSH,S_MSH,MMP,S_MMP,PMP,S_PMP
4,48,10000000,267.1291,694444722236,828.5118,694444722236,1559.3922,694444722236
4,49,10000000,283.8242,694444722236,864.6507,694444722236,1741.8905,694444722236
4,50,10000000,275.5641,694444722236,828.2953,694444722236,1483.6198,694444722236
4,51,10000000,268.5563,694444722236,816.3123,694444722236,1488.1643,694444722236
4,52,10000000,269.2322,694444722236,817.5356,694444722236,1479.9072,694444722236
4,53,10000000,277.2579,694444722236,820.9072,694444722236,1485.6123,694444722236
4,54,10000000,268.2632,694444722236,830.8177,694444722236,1488.2712,694444722236
4,55,10000000,267.8845,694444722236,821.4233,694444722236,1492.735,694444722236
4,56,10000000,269.82,694444722236,833.9622,694444722236,1487.2625,694444722236
4,57,10000000,274.1643,694444722236,823.318,694444722236,1487.617,694444722236
4,58,10000000,269.7313,694444722236,824.7427,694444722236,1471.2216,694444722236
4,59,10000000,269.7658,694444722236,816.5494,694444722236,1505.0745,694444722236
4,60,10000000,268.5245,694444722236,827.0695,694444722236,1511.6813,694444722236
4,61,10000000,271.9376,694444722236,819.3402,694444722236,1489.4919,694444722236
4,62,10000000,267.2631,694444722236,822.4161,694444722236,1477.4325,694444722236
4,63,10000000,274.6552,694444722236,824.5051,694444722236,1487.6164,694444722236
4,64,10000000,275.5413,694444722236,823.0473,694444722236,1476.3646,694444722236
4,65,10000000,281.0748,694444722236,814.9521,694444722236,1485.3061,694444722236
4,66,10000000,265.3799,694444722236,832.1484,694444722236,1510.5283,694444722236
4,67,10000000,270.3218,694444722236,835.4829,694444722236,1495.0223,694444722236
4,68,10000000,273.2392,694444722236,822.6316,694444722236,1485.934,694444722236
4,69,10000000,270.4961,694444722236,819.9927,694444722236,1476.9273,694444722236
4,70,10000000,269.3674,694444722236,817.8279,694444722236,1494.9953,694444722236
4,71,10000000,268.1442,694444722236,815.9355,694444722236,1523.3429,694444722236
4,72,10000000,299.1163,694444722236,840.6831,694444722236,1480.2026,694444722236
4,73,10000000,272.6764,694444722236,809.0964,694444722236,1487.0243,694444722236
4,74,10000000,273.7526,694444722236,818.0423,694444722236,1478.8398,694444722236
4,75,10000000,277.425,694444722236,802.828,694444722236,1476.8202,694444722236
4,76,10000000,269.8062,694444722236,821.7885,694444722236,1485.8028,694444722236
4,77,10000000,268.4151,694444722236,811.1568,694444722236,1482.2457,694444722236
4,78,10000000,278.6406,694444722236,820.3832,694444722236,1472.9103,694444722236
4,79,10000000,268.2114,694444722236,822.3852,694444722236,1489.0825,694444722236
4,80,10000000,273.323,694444722236,819.9614,694444722236,1482.6762,694444722236
4,81,10000000,268.3446,694444722236,819.3161,694444722236,1465.365,694444722236
4,82,10000000,264.0209,694444722236,828.2112,694444722236,1493.8823,694444722236
4,83,10000000,273.6487,694444722236,820.8201,694444722236,1485.2981,694444722236
4,84,10000000,268.9993,694444722236,823.464,694444722236,1477.2437,694444722236
4,85,10000000,268.5483,694444722236,813.5186,694444722236,1477.0736,694444722236
4,86,10000000,266.876,694444722236,817.9843,694444722236,1495.7999,694444722236
4,87,10000000,266.3101,694444722236,816.0503,694444722236,1479.1125,694444722236
4,88,10000000,263.431,694444722236,829.9971,694444722236,1487.5193,694444722236
4,89,10000000,265.2478,694444722236,818.0411,694444722236,1489.4318,694444722236
4,90,10000000,278.721,694444722236,813.0093,694444722236,1464.4144,694444722236
4,91,10000000,267.2255,694444722236,808.8939,694444722236,1482.159,694444722236
4,92,10000000,268.0556,694444722236,814.03,694444722236,1498.4906,694444722236
4,93,10000000,269.9626,694444722236,824.9821,694444722236,1493.9899,694444722236
4,94,10000000,266.8745,694444722236,818.0475,694444722236,1473.0254,694444722236
4,95,10000000,272.2593,694444722236,808.7567,694444722236,1479.8607,694444722236
4,96,10000000,270.5771,694444722236,822.9697,694444722236,1492.9683,694444722236
4,97,10000000,275.4491,694444722236,809.5164,694444722236,1479.0344,694444722236
4,98,10000000,276.1251,694444722236,813.2198,694444722236,1487.1354,694444722236
4,99,10000000,272.549,694444722236,805.9084,694444722236,1476.6818,694444722236
5,0,10000000,286.3486,347222361140,765.3992,347222361140,1453.6179,347222361140
5,1,10000000,293.2538,347222361140,761.2818,347222361140,1470.4359,347222361140
5,2,10000000,286.654,347222361140,763.2566,347222361140,1447.1486,347222361140
5,3,10000000,295.1867,347222361140,757.8092,347222361140,1449.9585,347222361140
5,4,10000000,286.6003,347222361140,760.851,347222361140,1460.2048,347222361140
5,5,10000000,287.561,347222361140,760.095,347222361140,1467.1636,347222361140
5,6,10000000,287.4433,347222361140,761.6616,347222361140,1452.7464,347222361140
5,7,10000000,292.3035,347222361140,756.138,347222361140,1450.224,347222361140
5,8,10000000,286.6836,347222361140,763.7576,347222361140,1445.9761,347222361140
5,9,10000000,280.018,347222361140,760.0002,347222361140,1450.0737,347222361140
5,10,10000000,289.3797,347222361140,766.1477,347222361140,1449.4447,347222361140
5,11,10000000,286.7093,347222361140,758.5547,347222361140,1452.1897,347222361140
5,12,10000000,288.7222,347222361140,759.6384,347222361140,1446.5961,347222361140
5,13,10000000,288.4775,347222361140,763.2221,347222361140,1455.2212,347222361140
5,14,10000000,296.4683,347222361140,766.1697,347222361140,1453.5816,347222361140
5,15,10000000,289.8486,347222361140,769.9543,347222361140,1451.015,347222361140
5,16,10000000,291.2558,347222361140,761.2023,347222361140,1460.6105,347222361140
5,17,10000000,285.7437,347222361140,764.0242,347222361140,1467.8106,347222361140
5,18,10000000,295.2403,347222361140,762.2436,347222361140,1458.1905,347222361140
5,19,10000000,291.4383,347222361140,761.4371,347222361140,1454.2986,347222361140
5,20,10000000,293.796,347222361140,767.0249,347222361140,1444.572,347222361140
5,21,10000000,287.6702,347222361140,765.6176,347222361140,1462.7165,347222361140
5,22,10000000,288.9246,347222361140,758.2258,347222361140,1452.9997,347222361140
5,23,10000000,291.22,347222361140,762.3947,347222361140,1453.9932,347222361140
5,24,10000000,296.6934,347222361140,763.2926,347222361140,1453.8776,347222361140
5,25,10000000,293.5176,347222361140,762.9172,347222361140,1465.0403,347222361140
5,26,10000000,289.3539,347222361140,756.8423,347222361140,1455.3023,347222361140
5,27,10000000,289.6031,347222361140,768.1474,347222361140,1447.2239,347222361140
5,28,10000000,285.9453,347222361140,765.7713,347222361140,1456.3349,347222361140
5,29,10000000,286.4306,347222361140,762.9318,347222361140,1451.8481,347222361140
5,30,10000000,290.1807,347222361140,764.3263,347222361140,1449.9659,347222361140
5,31,10000000,290.215,347222361140,761.8324,347222361140,1447.7483,347222361140
