bits,i,size,MSH,t1,MMP,t2,PMP,t3
5,24,10000000,118.7261,139687500,587.647,152187500,1256.7106,161562500
5,25,10000000,117.352,139687500,587.2942,152187500,1253.7911,161562500
5,26,10000000,116.8956,139687500,590.3228,152187500,1259.3938,161562500
5,27,10000000,118.5324,139687500,588.09,152187500,1259.284,161562500
5,28,10000000,114.3186,139687500,596.961,152187500,1254.1354,161562500
5,29,10000000,114.5055,139687500,593.1556,152187500,1256.5059,161562500
5,30,10000000,116.2342,139687500,596.3501,152187500,1254.3594,161562500
5,31,10000000,115.102,139687500,594.6844,152187500,1275.946,161562500
5,32,10000000,119.3475,139687500,587.8017,152187500,1264.6565,161562500
5,33,10000000,113.8147,139687500,587.3788,152187500,1260.0958,161562500
5,34,10000000,115.3039,139687500,596.6783,152187500,1284.5733,161562500
5,35,10000000,115.6794,139687500,593.203,152187500,1266.6622,161562500
5,36,10000000,113.4719,139687500,595.5229,152187500,1262.3234,161562500
5,37,10000000,114.8203,139687500,591.0946,152187500,1263.2311,161562500
5,38,10000000,115.8376,139687500,591.3804,152187500,1263.0767,161562500
5,39,10000000,113.8214,139687500,587.4864,152187500,1262.8888,161562500
5,40,10000000,116.2983,139687500,596.7019,152187500,1268.0822,161562500
5,41,10000000,117.6712,139687500,595.9616,152187500,1270.4629,161562500
5,42,10000000,113.8184,139687500,590.683,152187500,1252.8811,161562500
5,43,10000000,114.1602,139687500,590.4849,152187500,1261.7705,161562500
5,44,10000000,118.9852,139687500,586.322,152187500,1256.6792,161562500
5,45,10000000,115.9941,139687500,591.1963,152187500,1263.4232,161562500
5,46,10000000,118.0116,139687500,589.5911,152187500,1260.9148,161562500
5,47,10000000,117.7331,139687500,592.6283,152187500,1257.5463,161562500
5,48,10000000,114.089,139687500,587.8674,152187500,1258.9013,161562500
5,49,10000000,118.4479,139687500,593.6181,152187500,1259.9961,161562500
5,50,10000000,119.8387,139687500,587.73,152187500,1262.8253,161562500
5,51,10000000,118.9848,139687500,587.8791,152187500,1274.462,161562500
5,52,10000000,118.3711,139687500,594.8863,152187500,1256.2322,161562500
5,53,10000000,115.3725,139687500,592.1427,152187500,1261.8785,161562500
5,54,10000000,113.7596,139687500,590.1083,152187500,1261.511,161562500
5,55,10000000,113.4771,139687500,594.2905,152187500,1263.128,161562500
5,56,10000000,115.715,139687500,591.1061,152187500,1259.139,161562500
5,57,10000000,117.0238,139687500,588.8979,152187500,1256.2471,161562500
5,58,10000000,116.3543,139687500,590.7743,152187500,1267.1553,161562500
5,59,10000000,113.4917,139687500,600.007,152187500,1257.4597,161562500
5,60,10000000,116.6965,139687500,590.4873,152187500,1257.0757,161562500
5,61,10000000,114.9371,139687500,593.2404,152187500,1258.2718,161562500
5,62,10000000,114.2953,139687500,593.843,152187500,1269.4795,161562500
5,63,10000000,114.418,139687500,595.723,152187500,1257.0636,161562500
5,64,10000000,120.7519,139687500,593.501,152187500,1264.2938,161562500
5,65,10000000,116.4325,139687500,589.6835,152187500,1264.601,161562500
5,66,10000000,115.5398,139687500,596.9574,152187500,1255.4867,161562500
5,67,10000000,115.6785,139687500,593.2263,152187500,1260.3631,161562500
5,68,10000000,114.6027,139687500,590.6023,152187500,1270.3407,161562500
5,69,10000000,119.5856,139687500,594.4078,152187500,1283.6659,161562500
5,70,10000000,114.1382,139687500,593.3968,152187500,1260.6198,161562500
5,71,10000000,115.1503,139687500,587.7491,152187500,1267.4934,161562500
5,72,10000000,121.5072,139687500,587.2492,152187500,1269.6701,161562500
5,73,10000000,118.3718,139687500,597.2146,152187500,1276.7594,161562500
5,74,10000000,115.2838,139687500,600.8959,152187500,1265.863,161562500
5,75,10000000,115.5374,139687500,598.6425,152187500,1276.7027,161562500
5,76,10000000,117.1876,139687500,597.3369,152187500,1275.3485,161562500
5,77,10000000,117.7968,139687500,593.4259,152187500,1270.4994,161562500
5,78,10000000,117.6693,139687500,599.6022,152187500,1272.5766,161562500
5,79,10000000,115.6792,139687500,594.6982,152187500,1288.7585,161562500
5,80,10000000,119.935,139687500,608.3611,152187500,1295.6811,161562500
5,81,10000000,116.3396,139687500,595.7532,152187500,1281.9791,161562500
5,82,10000000,121.2828,139687500,597.5574,152187500,1283.4195,161562500
5,83,10000000,118.5643,139687500,606.6795,152187500,1272.7975,161562500
5,84,10000000,117.6872,139687500,593.1573,152187500,1267.5791,161562500
5,85,10000000,118.4801,139687500,620.3076,152187500,1279.5089,161562500
5,86,10000000,115.5458,139687500,605.9277,152187500,1286.7391,161562500
5,87,10000000,116.908,139687500,588.039,152187500,1270.0243,161562500
5,88,10000000,117.5022,139687500,594.8361,152187500,1266.3121,161562500
5,89,10000000,119.6973,139687500,600.2194,152187500,1269.4468,161562500
5,90,10000000,117.1573,139687500,592.7552,152187500,1267.9493,161562500
5,91,10000000,117.7623,139687500,596.3859,152187500,1276.268,161562500
5,92,10000000,114.2106,139687500,591.0126,152187500,1283.5377,161562500
5,93,10000000,121.3132,139687500,604.7479,152187500,1269.7086,161562500
5,94,10000000,114.4728,139687500,604.4697,152187500,1261.3583,161562500
5,95,10000000,113.2156,139687500,597.1949,152187500,1279.0057,161562500
5,96,10000000,119.6043,139687500,602.9653,152187500,1283.0344,161562500
5,97,10000000,117.4309,139687500,592.6333,152187500,1287.0167,161562500
5,98,10000000,117.5552,139687500,613.8667,152187500,1292.8059,161562500
5,99,10000000,116.6624,139687500,597.2577,152187500,1263.2221,161562500
6,0,10000000,119.5809,307812500,592.2055,314843750,1263.3815,323906250
6,1,10000000,115.2515,307812500,596.8545,314843750,1259.4706,323906250
6,2,10000000,113.6404,307812500,598.7469,314843750,1270.5976,323906250
6,3,10000000,121.987,307812500,592.0025,314843750,1281.2579,323906250
6,4,10000000,116.8,307812500,597.0849,314843750,1266.63,323906250
6,5,10000000,118.0705,307812500,594.0919,314843750,1264.4453,323906250
6,6,10000000,118.9343,307812500,594.5364,314843750,1262.7699,323906250
6,7,10000000,121.6135,307812500,588.455,314843750,1265.1039,323906250
6,8,10000000,116.2865,307812500,600.8042,314843750,1271.6895,323906250
6,9,10000000,120.0988,307812500,593.2298,314843750,1255.3312,323906250
6,10,10000000,120.6882,307812500,596.8306,314843750,1261.5973,323906250
6,11,10000000,118.32,307812500,589.0741,314843750,1275.207,323906250
6,12,10000000,117.8924,307812500,598.3727,314843750,1281.051,323906250
6,13,10000000,116.9184,307812500,595.1243,314843750,1281.6594,323906250
6,14,10000000,117.103,307812500,602.7686,314843750,1262.7772,323906250
6,15,10000000,114.0701,307812500,608.7286,314843750,1269.319,323906250
6,16,10000000,117.4876,307812500,598.7993,314843750,1278.0777,323906250
6,17,10000000,116.4466,307812500,599.0653,314843750,1278.8466,323906250
6,18,10000000,115.5817,307812500,593.0309,314843750,1263.7597,323906250
6,19,10000000,119.6118,307812500,591.4464,314843750,1257.1999,323906250
6,20,10000000,116.7213,307812500,588.5279,314843750,1261.716,323906250
6,21,10000000,117.377,307812500,590.6807,314843750,1264.7555,323906250
6,22,10000000,117.3876,307812500,593.8591,314843750,1264.4824,323906250
6,23,10000000,114.6784,307812500,587.6557,314843750,1280.8791,323906250
6,24,10000000,114.8895,307812500,590.5083,314843750,1259.473,323906250
6,25,10000000,120.1689,307812500,587.6928,314843750,1265.7887,323906250
6,26,10000000,119.1071,307812500,603.0965,314843750,1281.4891,323906250
